area,signal,evidence,recommended_use,priority,validation_gate,next_experiment
candidate_generation,session_artist_continuity,"dev_test session artist continuity rate=0.402875; eligible_rate=0.460429","artist-aware lexical/metadata candidate source and rerank feature",P0,"bucket recall@100/500 improves without nDCG@20 regression","retrieval candidate diagnostics by goal/turn"
candidate_generation,session_album_continuity,"dev_test session album continuity rate=0.28225; eligible_rate=0.322571","album-aware candidate expansion with lower weight than artist",P1,"improves recall in follow-up buckets and does not overfit popular albums","retrieval source ablation"
candidate_generation,session_exact_track_repeat,"dev_test session exact repeat rate=0.0; train session exact repeat rate=0.0","do not use same-session exact replay as a primary source",P0,"only allow as weak negative/diagnostic signal if useful","none until diagnostics show need"
personalization,user_history_exact_repeat,"dev_test user exact repeat eligible_rate=0.07; train eligible_rate=0.108164","use user-history exact repeat only for warm users and late/follow-up buckets",P1,"warm-user bucket nDCG improves; cold bucket unchanged","warm/cold history source diagnostic"
personalization,user_history_artist,"dev_test user artist eligible_rate=0.25275; train eligible_rate=0.302512","use as feature or low-weight candidate source for warm users",P1,"candidate recall improves and reranker learns to downweight noisy hits","feature-only vs source comparison"
metadata,metadata_field_coverage,"track_name/artist_name/album_name/tag_list/popularity/duration missing_rate=0.0","treat metadata BM25 and structured metadata features as reliable base signals",P0,"metadata source recall and nDCG exceed text-only baseline in at least one bucket","metadata corpus field sweep"
metadata,release_year_missing,"release_year missing_rate=0.014064","use release_year as optional weak feature with missing bucket",P3,"no regression in requests with era/date wording","release year feature bucket test"
embeddings,track_qwen_zero_vectors,"qwen track embeddings zero_vectors=492/47071","separate zero-vector gold/candidate bucket before dense decisions",P0,"dense source metrics report zero-vector bucket separately","embedding retrieval diagnostics"
embeddings,track_cf_zero_vectors,"track cf-bpr zero_vectors=616/47071","avoid relying on item CF as sole candidate source",P2,"feature-only improves warm bucket without reducing catalog diversity","cf feature-only ablation"
embeddings,user_test_cold_zero_vectors,"test_cold cf-bpr zero_vectors=104/129; median_norm=0.0","do not use user CF for cold users except explicit missing-vector fallback",P0,"cold bucket does not regress when CF is gated off","warm/cold CF gate"
response,ranking_response_coupling,"evaluation includes nDCG@20=0.50 and LLM judge=0.30","run response experiments with ranking fixed whenever possible",P1,"same predicted_track_ids; judge/lexical improves or stays neutral","response consistency and lexical EDA"
diversity,popularity_bias,"popular tracks recur by turn/goal; catalog diversity has 0.10 weight","use popularity as fallback or mild prior, not dominant ranking objective",P2,"nDCG and judge do not regress; catalog diversity improves or stays neutral","popularity prior strength sweep"
