dataset,split,file,size_mb,rows,row_groups,num_columns,columns,schema
TalkPlayData-Challenge-Blind-A,test,input/TalkPlayData-Challenge-Blind-A/data/test-00000-of-00001.parquet,0.4355611801147461,80,1,7,"session_id, user_id, session_date, user_profile, conversation_goal, conversations, goal_progress_assessments","{'session_id': 'string', 'user_id': 'string', 'session_date': 'string', 'user_profile': 'struct<age: int64, age_group: string, country_code: string, country_name: string, gender: string, preferred_language: string, preferred_musical_culture: string, user_id: string, user_split: string>', 'conversation_goal': 'struct<category: string, listener_goal: string, specificity: string>', 'conversations': 'list<element: struct<content: string, role: string, thought: string, turn_number: int64>>', 'goal_progress_assessments': 'list<element: struct<goal_progress_assessment: string, turn_number: int64>>'}"
TalkPlayData-Challenge-Dataset,test,input/TalkPlayData-Challenge-Dataset/data/test-00000-of-00001.parquet,6.250875473022461,1000,1,7,"session_id, user_id, session_date, user_profile, conversation_goal, conversations, goal_progress_assessments","{'session_id': 'string', 'user_id': 'string', 'session_date': 'string', 'user_profile': 'struct<age: int64, age_group: string, country_code: string, country_name: string, gender: string, preferred_language: string, preferred_musical_culture: string, user_id: string, user_split: string>', 'conversation_goal': 'struct<category: string, listener_goal: string, specificity: string>', 'conversations': 'list<element: struct<content: string, role: string, thought: string, turn_number: int64>>', 'goal_progress_assessments': 'list<element: struct<goal_progress_assessment: string, turn_number: int64>>'}"
TalkPlayData-Challenge-Dataset,train,input/TalkPlayData-Challenge-Dataset/data/train-00000-of-00001.parquet,84.43844985961914,15199,3,7,"session_id, user_id, session_date, user_profile, conversation_goal, conversations, goal_progress_assessments","{'session_id': 'string', 'user_id': 'string', 'session_date': 'string', 'user_profile': 'struct<age: int64, age_group: string, country_code: string, country_name: string, gender: string, preferred_language: string, preferred_musical_culture: string, user_id: string, user_split: string>', 'conversation_goal': 'struct<category: string, listener_goal: string, specificity: string>', 'conversations': 'list<element: struct<content: string, role: string, thought: string, turn_number: int64>>', 'goal_progress_assessments': 'list<element: struct<goal_progress_assessment: string, turn_number: int64>>'}"
TalkPlayData-Challenge-Track-Embeddings,all_tracks,input/TalkPlayData-Challenge-Track-Embeddings/data/all_tracks-00000-of-00004.parquet,164.3657932281494,11768,5,7,"track_id, audio-laion_clap, image-siglip2, cf-bpr, attributes-qwen3_embedding_0.6b, lyrics-qwen3_embedding_0.6b, metadata-qwen3_embedding_0.6b","{'track_id': 'string', 'audio-laion_clap': 'list<element: double>', 'image-siglip2': 'list<element: double>', 'cf-bpr': 'list<element: double>', 'attributes-qwen3_embedding_0.6b': 'list<element: double>', 'lyrics-qwen3_embedding_0.6b': 'list<element: double>', 'metadata-qwen3_embedding_0.6b': 'list<element: double>'}"
TalkPlayData-Challenge-Track-Embeddings,all_tracks,input/TalkPlayData-Challenge-Track-Embeddings/data/all_tracks-00001-of-00004.parquet,164.24433708190918,11768,5,7,"track_id, audio-laion_clap, image-siglip2, cf-bpr, attributes-qwen3_embedding_0.6b, lyrics-qwen3_embedding_0.6b, metadata-qwen3_embedding_0.6b","{'track_id': 'string', 'audio-laion_clap': 'list<element: double>', 'image-siglip2': 'list<element: double>', 'cf-bpr': 'list<element: double>', 'attributes-qwen3_embedding_0.6b': 'list<element: double>', 'lyrics-qwen3_embedding_0.6b': 'list<element: double>', 'metadata-qwen3_embedding_0.6b': 'list<element: double>'}"
TalkPlayData-Challenge-Track-Embeddings,all_tracks,input/TalkPlayData-Challenge-Track-Embeddings/data/all_tracks-00002-of-00004.parquet,164.49566650390625,11768,5,7,"track_id, audio-laion_clap, image-siglip2, cf-bpr, attributes-qwen3_embedding_0.6b, lyrics-qwen3_embedding_0.6b, metadata-qwen3_embedding_0.6b","{'track_id': 'string', 'audio-laion_clap': 'list<element: double>', 'image-siglip2': 'list<element: double>', 'cf-bpr': 'list<element: double>', 'attributes-qwen3_embedding_0.6b': 'list<element: double>', 'lyrics-qwen3_embedding_0.6b': 'list<element: double>', 'metadata-qwen3_embedding_0.6b': 'list<element: double>'}"
TalkPlayData-Challenge-Track-Embeddings,all_tracks,input/TalkPlayData-Challenge-Track-Embeddings/data/all_tracks-00003-of-00004.parquet,164.6778392791748,11767,5,7,"track_id, audio-laion_clap, image-siglip2, cf-bpr, attributes-qwen3_embedding_0.6b, lyrics-qwen3_embedding_0.6b, metadata-qwen3_embedding_0.6b","{'track_id': 'string', 'audio-laion_clap': 'list<element: double>', 'image-siglip2': 'list<element: double>', 'cf-bpr': 'list<element: double>', 'attributes-qwen3_embedding_0.6b': 'list<element: double>', 'lyrics-qwen3_embedding_0.6b': 'list<element: double>', 'metadata-qwen3_embedding_0.6b': 'list<element: double>'}"
TalkPlayData-Challenge-Track-Embeddings,test_tracks,input/TalkPlayData-Challenge-Track-Embeddings/data/test_tracks-00000-of-00001.parquet,97.47979259490967,7405,3,7,"track_id, audio-laion_clap, image-siglip2, cf-bpr, attributes-qwen3_embedding_0.6b, lyrics-qwen3_embedding_0.6b, metadata-qwen3_embedding_0.6b","{'track_id': 'string', 'audio-laion_clap': 'list<element: double>', 'image-siglip2': 'list<element: double>', 'cf-bpr': 'list<element: double>', 'attributes-qwen3_embedding_0.6b': 'list<element: double>', 'lyrics-qwen3_embedding_0.6b': 'list<element: double>', 'metadata-qwen3_embedding_0.6b': 'list<element: double>'}"
TalkPlayData-Challenge-Track-Metadata,all_tracks,input/TalkPlayData-Challenge-Track-Metadata/data/all_tracks-00000-of-00001.parquet,17.37755298614502,47071,1,11,"track_id, ISRC, track_name, artist_name, album_name, tag_list, popularity, release_date, duration, artist_id, album_id","{'track_id': 'string', 'ISRC': 'list<element: string>', 'track_name': 'list<element: string>', 'artist_name': 'list<element: string>', 'album_name': 'list<element: string>', 'tag_list': 'list<element: string>', 'popularity': 'double', 'release_date': 'string', 'duration': 'int64', 'artist_id': 'list<element: string>', 'album_id': 'list<element: string>'}"
TalkPlayData-Challenge-Track-Metadata,test_tracks,input/TalkPlayData-Challenge-Track-Metadata/data/test_tracks-00000-of-00001.parquet,2.109971046447754,7405,1,11,"track_id, ISRC, track_name, artist_name, album_name, tag_list, popularity, release_date, duration, artist_id, album_id","{'track_id': 'string', 'ISRC': 'list<element: string>', 'track_name': 'list<element: string>', 'artist_name': 'list<element: string>', 'album_name': 'list<element: string>', 'tag_list': 'list<element: string>', 'popularity': 'double', 'release_date': 'string', 'duration': 'int64', 'artist_id': 'list<element: string>', 'album_id': 'list<element: string>'}"
TalkPlayData-Challenge-User-Embeddings,test_cold,input/TalkPlayData-Challenge-User-Embeddings/data/test_cold-00000-of-00001.parquet,0.029804229736328125,129,1,2,"user_id, cf-bpr","{'user_id': 'string', 'cf-bpr': 'list<element: double>'}"
TalkPlayData-Challenge-User-Embeddings,test_warm,input/TalkPlayData-Challenge-User-Embeddings/data/test_warm-00000-of-00001.parquet,0.3844261169433594,371,1,2,"user_id, cf-bpr","{'user_id': 'string', 'cf-bpr': 'list<element: double>'}"
TalkPlayData-Challenge-User-Embeddings,train,input/TalkPlayData-Challenge-User-Embeddings/data/train-00000-of-00001.parquet,7.01624870300293,8591,1,2,"user_id, cf-bpr","{'user_id': 'string', 'cf-bpr': 'list<element: double>'}"
TalkPlayData-Challenge-User-Metadata,all_users,input/TalkPlayData-Challenge-User-Metadata/data/all_users-00000-of-00001.parquet,0.3472099304199219,8772,1,6,"user_id, age, age_group, country_code, country_name, gender","{'user_id': 'string', 'age': 'int64', 'age_group': 'string', 'country_code': 'string', 'country_name': 'string', 'gender': 'string'}"
